Symbol,Name,Last,Std Dev,"Market Cap, $K",1Y Return,3Y Return,20D His Vol,Long Term,Exchange,%Chg,52W High,52W Low,Pivot
AGX,Argan Inc,66.2,-0.36,1031856000,19.08%,90.75%,16.85%,67% Buy,NYSE,-0.30%,76.7,54,66.38
AGYS,Agilysys Inc,12.12,-0.47,285124000,20.12%,7.88%,19.44%,67% Buy,NASDAQ,-0.57%,12.94,8.17,12.19
AHH,Armada Hoffler Properties Inc,13.97,-2.45,635760000,1.53%,50.85%,8.76%,67% Buy,NYSE,-1.27%,14.98,12.65,14.15
AHL,Aspen Insurance Holdings,41.47,-0.37,2495328000,-15.70%,-4.42%,15.54%,67% Sell,NYSE,-0.55%,57.8,35.05,41.98
AHP,Ashford Hospitality Prime Inc,10.1,0.92,319500000,-24.85%,-42.30%,17.14%,Hold,NYSE,1.00%,14.87,9.02,10.05
AHT,Ashford Hospitality Trust Inc,7.02,0.92,677139000,13.39%,-38.50%,19.71%,100% Buy,NYSE,1.01%,8.23,5.35,6.91
AI,Arlington Asset Investment Corp,11.88,-4.12,328787000,-22.01%,-53.73%,28.49%,100% Sell,NYSE,-6.24%,17.13,11.43,12.69
AIG,American International Group,64.95,-0.08,58839088000,7.50%,21.58%,12.04%,33% Buy,NYSE,-0.28%,67.47,57.35,65.04
AIMC,Altra Indtl Mtn,47.5,-1.11,1421535000,63.23%,53.87%,29.74%,67% Buy,NASDAQ,-2.06%,50,28.85,48.57
AIMT,Aimmune Therap,31.47,-0.13,1595232000,86.74%,0.00%,92.47%,100% Buy,NASDAQ,-0.32%,37.5,14.87,31.57
AIN,Albany International Corp,56.95,-1.66,1852170000,37.73%,52.73%,12.49%,67% Buy,NYSE,-1.30%,58.88,37,57.78
AIR,AAR Corp,38.68,-0.43,1343256000,21.18%,46.42%,11.32%,67% Buy,NYSE,-0.31%,39.71,31.07,38.74
AIT,Applied Industrial Technologies,65,-1.56,2563476000,48.23%,35.12%,14.77%,100% Buy,NYSE,-1.44%,69,47,65.87
AIV,Apartment Investment and Management,43.66,-0.33,6869625000,1.72%,22.24%,9.85%,33% Sell,NYSE,-0.21%,46.85,39.66,43.8
AIZ,Assurant Inc,99.06,-0.24,5363781000,20.79%,46.12%,22.38%,67% Sell,NYSE,-0.62%,106.99,78.5,99.63
AJG,Arthur J. Gallagher & Co,62.36,-1.43,11319453000,29.19%,31.72%,6.04%,100% Buy,NYSE,-0.75%,63.2,47.16,62.9
AJRD,Aerojet Rocketdyne Holdings,32.18,-0.56,2451264000,84.75%,92.45%,34.93%,67% Buy,NYSE,-1.41%,36.25,16.04,32.42
AJX,Great Ajax Corp,14.26,0.53,260610000,1.27%,0.00%,8.45%,67% Buy,NYSE,-0.14%,15.4,12.61,14.31
AKAM,Akamai Technologies,54.54,3.89,8898412000,-7.16%,-13.91%,22.43%,33% Buy,NASDAQ,5.07%,71.64,44.65,51.65
AKAO,Achaogen Inc,12.8,-1.17,572217000,134.91%,27.59%,54.60%,100% Sell,NASDAQ,-5.54%,27.79,3.68,13.52
AKBA,Akebia Therapeutics,17.15,-2.19,834555000,119.08%,36.57%,24.55%,67% Buy,NASDAQ,-3.11%,20.25,7.16,17.69
AKCA,Akcea Therapeutics Inc,18.09,-1.71,1289545000,91.46%,0.00%,60.70%,N/A,NASDAQ,-6.66%,31.23,8.1,19.47
AKR,Acadia Realty Trust,28.62,-1.75,2443709000,-18.19%,-6.38%,17.59%,Hold,NYSE,-2.02%,34.82,26.7,29.21
AKRX,Akorn Inc,33.19,-0.43,4154839000,29.79%,-25.34%,6.70%,67% Sell,NASDAQ,-0.21%,34,17.61,33.26
AKS,AK Steel Holding Corp,6.01,-1.57,1961516000,13.95%,-17.70%,37.28%,33% Buy,NYSE,-3.53%,11.39,4.93,6.23
AKTS,Akoustis Technologies Inc,5.61,-0.21,108947000,38.05%,0.00%,65.62%,100% Sell,NASDAQ,-1.75%,14,4.02,5.78
AL,Air Lease Corporation Class A C,42.94,-1.54,4545369000,44.59%,20.36%,21.12%,67% Buy,NYSE,-2.50%,44.78,29.49,44.07
ALB,Albemarle Corp,137.2,-0.86,15324399000,67.41%,137.62%,17.06%,67% Buy,NYSE,-1.10%,141.4,76.32,138.69
ALCO,Alico Inc,32.35,0.42,266888000,20.48%,-12.33%,23.30%,67% Buy,NASDAQ,0.62%,34.8,25.01,32.57
ALDR,Alder Biopharma,10.4,-1.09,727883000,-62.88%,-39.98%,41.34%,67% Sell,NASDAQ,-3.26%,34.3,8.6,10.89
ALE,Allete Inc,78.41,-0.8,4010552000,30.28%,50.65%,8.86%,67% Buy,NYSE,-0.37%,79.69,56.48,78.69
ALEX,Alexander and Baldwin Inc,44.82,-1.71,2231826000,17.10%,13.39%,10.92%,67% Buy,NYSE,-1.26%,46.96,37.31,45.18
ALG,Alamo Group,106.89,-0.73,1249295000,65.55%,150.75%,13.93%,67% Buy,NYSE,-0.49%,111.02,58.3,107.72
ALGN,Align Technology I,201.04,-1.65,16328158000,129.59%,287.15%,13.48%,100% Buy,NASDAQ,-1.32%,205.99,83.27,202.41
ALGT,Allegiant Travel Com,140.8,-0.12,2266674000,-8.51%,5.68%,24.30%,33% Buy,NASDAQ,-0.18%,182.25,111.54,140.07
ALK,Alaska Air Group,72.86,-3.49,9807047000,2.07%,49.15%,32.57%,67% Sell,NYSE,-8.23%,101.43,69.12,78.86
ALKS,Alkermes Plc,49.69,-1.13,7741391000,-8.80%,-0.34%,20.16%,67% Sell,NASDAQ,-1.37%,63.4,48.9,50.01
ALL,Allstate Corp,93.14,-0.81,33837748000,37.85%,44.39%,9.19%,67% Buy,NYSE,-0.53%,95.25,66.55,93.52
ALLE,Allegion Plc Ordinary Shares Wh,85.97,-2.54,8404715000,31.78%,66.66%,15.32%,67% Buy,NYSE,-2.84%,89.81,61.47,88.26
ALLY,Ally Financial,25.11,2,11079805000,28.29%,8.50%,14.37%,100% Buy,NYSE,1.95%,25.65,16.68,24.62
ALNY,Alnylam Pharmaceut,115.84,-0.56,10738831000,216.13%,26.23%,27.93%,67% Buy,NASDAQ,-1.05%,126.16,31.38,117.44
ALOG,Analogic Cp,80.6,0.3,1003653000,-2.65%,10.43%,19.58%,67% Buy,NASDAQ,0.06%,95.85,66,80.93
ALRM,Alarm.Com,47.56,-2.15,2301869000,62.44%,0.00%,24.69%,100% Buy,NASDAQ,-3.49%,49.49,26.68,48.91
